"~start_node_id","~start_node_labels","~start_node_property_name","~start_node_property_attributes","~start_node_property_id","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name","~end_node_property_id","~end_node_property_desc","~start_node_property_desc","~end_node_property_gloss","~start_node_property_gloss","~start_node_property_classes","~end_node_property_attributes","~end_node_property_kind"
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:204","elementSpec","caesura",,"caesura","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['marks the point at which a metrical line may be divided.']",,"[]","['att.global','model.lPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:205","elementSpec","rhyme",,"rhyme","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['marks the rhyming part of a metrical line.']",,"[]","['att.global','att.typed','model.lPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:206","elementSpec","set",,"set","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains a description of the setting','time','locale','appearance','etc.','of the action of a play','typically found in the front matter of a printed performance text (not a stage direction).']",,"['setting']","['att.global','model.frontPart.drama']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:207","elementSpec","prologue",,"prologue","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains the prologue to a drama','typically spoken by an actor out of character','possibly in association with a particular performance or venue.']",,"['prologue']","['att.global','model.frontPart.drama']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:208","elementSpec","epilogue",,"epilogue","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains the epilogue to a drama','typically spoken by an actor out of character','possibly in association with a particular performance or venue.']",,"['epilogue']","['att.global','model.frontPart.drama']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:209","elementSpec","performance",,"performance","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains a section of front or back matter describing how a dramatic piece is to be performed in general or how it was performed on some specific occasion.']",,"['performance']","['att.global','model.frontPart.drama']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:210","elementSpec","castList",,"castList","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains a single cast list or dramatis personae.']",,"['cast list']","['att.global','model.frontPart.drama','model.inter','model.standOffPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:211","elementSpec","castGroup",,"castGroup","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","[]",,"['cast list grouping']","['att.global']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:212","elementSpec","castItem",,"castItem","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains a single entry within a cast list','describing either a single role or a list of non-speaking roles.']",,"['cast list item']","['att.global','att.typed']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:213","elementSpec","role",,"role","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains the name of a dramatic role','as given in a cast list.']",,"['role']","['att.global','model.castItemPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:214","elementSpec","roleDesc",,"roleDesc","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['describes a character's role in a drama.']",,"['role description']","['att.global','model.castItemPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:215","elementSpec","actor",,"actor","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains the name of an actor appearing within a cast list.']",,"[]","['att.global','att.canonical','model.castItemPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:216","elementSpec","spGrp",,"spGrp","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","[]",,"['speech group']","['att.global','att.ascribed.directed','att.typed','model.divPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:217","elementSpec","move",,"move","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['marks the actual movement of one or more characters.']",,"['movement']","['att.global','att.ascribed.directed','att.typed','model.stageLike']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:218","elementSpec","view",,"view","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['describes the visual context of some part of a screen play in terms of what the spectator sees','generally independent of any dialogue.']",,"['view']","['att.global','model.stageLike']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:219","elementSpec","camera",,"camera","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['describes a particular camera angle or viewpoint in a screen play.']",,"['camera']","['att.global','att.typed','model.stageLike']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:220","elementSpec","sound",,"sound","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['describes a sound effect or musical sequence specified within a screen play or radio script.']",,"['sound']","['att.global','att.typed','model.stageLike']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:221","elementSpec","caption",,"caption","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains the text of a caption or other text displayed as part of a film script or screenplay.']",,"['caption']","['att.global','model.stageLike']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:222","elementSpec","tech",,"tech","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['describes a special-purpose stage direction that is not meant for the actors.']",,"['technical stage direction']","['att.global','att.typed','model.stageLike']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:223","elementSpec","scriptStmt",,"scriptStmt","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains a citation giving details of the script used for a spoken text.']",,"['script statement']","['att.global','att.declarable','model.sourceDescPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:224","elementSpec","recordingStmt",,"recordingStmt","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['describes a set of recordings used as the basis for transcription of a spoken text.']",,"['recording statement']","['att.global','model.sourceDescPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:225","elementSpec","recording",,"recording","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['provides details of an audio or video recording event used as the source of a spoken text','either directly or from a public broadcast.']",,"['recording event']","['att.global','att.declarable','att.duration','att.typed']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:226","elementSpec","equipment",,"equipment","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['provides technical details of the equipment and media used for an audio or video recording used as the source for a spoken text.']",,"['equipment']","['att.global','att.declarable','model.recordingPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:227","elementSpec","broadcast",,"broadcast","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['describes a broadcast used as the source of a spoken text.']",,"['broadcast']","['att.global','att.declarable','model.recordingPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:228","elementSpec","transcriptionDesc",,"transcriptionDesc","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['describes the set of transcription conventions used','particularly for spoken material.']",,"['transcription description']","['att.global','model.encodingDescPart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:229","elementSpec","u",,"u","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains a stretch of speech usually preceded and followed by silence or by a change of speaker.']",,"['utterance']","['att.global','att.ascribed.directed','att.declaring','att.notated','att.timed','model.divPart.spoken','model.standOffPart']","['xml:id','n','xml:base','xml:space']",
