"~id","~labels","gloss","name","id","desc","attributes","classes","kind"
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:131","elementSpec","['milestone']","milestone","milestone","['marks a boundary point separating any kind of section of a text','typically but not necessarily indicating a point at which some part of a standard reference system changes','where the change is not represented by a structural element.']",,"['att.global','att.breaking','att.cmc','att.edition','att.milestoneUnit','att.spanning','att.typed','model.milestoneLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:134","elementSpec","['line beginning']","lb","lb","['marks the beginning of a topographic line in some edition or version of a text.']",,"['att.global','att.breaking','att.cmc','att.edition','att.spanning','att.typed','model.milestoneLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:135","elementSpec","['column beginning']","cb","cb","['marks the beginning of a new column of a text on a multi-column page.']",,"['att.global','att.breaking','att.cmc','att.edition','att.spanning','att.typed','model.milestoneLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:84","elementSpec","['gloss']","gloss","gloss","['identifies a phrase or word used to provide a gloss or definition for some other word or phrase.']",,"['att.global','att.cReferencing','att.cmc','att.declaring','att.pointing','att.translatable','att.typed','model.emphLike','model.identEquiv']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:85","elementSpec","['term']","term","term","['contains a single-word','multi-word','or symbolic designation which is regarded as a technical term.']",,"['att.global','att.cReferencing','att.canonical','att.cmc','att.declaring','att.pointing','att.sortable','att.typed','model.emphLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:115","elementSpec","['pointer']","ptr","ptr","['defines a pointer to another location.']",,"['att.global','att.cReferencing','att.cmc','att.declaring','att.internetMedia','att.pointing','att.typed','model.annotationPart.body','model.ptrLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:116","elementSpec","['reference']","ref","ref","['defines a reference to another location','possibly modified by additional text or comment.']",,"['att.global','att.cReferencing','att.cmc','att.declaring','att.internetMedia','att.pointing','att.typed','model.annotationPart.body','model.ptrLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:3","elementSpec","['sponsor']","sponsor","sponsor","['specifies the name of a sponsoring organization or institution.']",,"['att.global','att.canonical','att.datable','model.respLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:4","elementSpec","['funding body']","funder","funder","['specifies the name of an individual','institution','or organization responsible for the funding of a project or text.']",,"['att.global','att.canonical','att.datable','model.respLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:5","elementSpec","['principal researcher']","principal","principal","['supplies the name of the principal researcher responsible for the creation of an electronic text.']",,"['att.global','att.canonical','att.datable','model.respLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:10","elementSpec","['distributor']","distributor","distributor","['supplies the name of a person or other agency responsible for the distribution of a text.']",,"['att.global','att.canonical','model.imprintPart','model.publicationStmtPart.agency']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:11","elementSpec","['release authority']","authority","authority","['supplies the name of a person or other agency responsible for making a work available','other than a publisher or distributor.']",,"['att.global','att.canonical','model.publicationStmtPart.agency']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:18","elementSpec","['fully-structured bibliographic citation']","biblFull","biblFull","['contains a fully-structured bibliographic citation','in which all components of the TEI file description are present.']",,"['att.global','att.canonical','att.cmc','att.declarable','att.docStatus','att.sortable','model.biblLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:47","elementSpec","['category description']","catDesc","catDesc","[]",,"['att.global','att.canonical']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:49","elementSpec","['unit declarations']","unitDecl","unitDecl","['provides information about units of measurement that are not members of the International System of Units.']",,"['att.global','att.canonical','att.datable','model.encodingDescPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:50","elementSpec","['unit definition']","unitDef","unitDef","['contains descriptive information related to a specific unit of measurement.']",,"['att.global','att.canonical','att.datable','att.typed']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:111","elementSpec","[]","date","date","[]",,"[]",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:112","elementSpec","['time']","time","time","['contains a phrase defining a time of day in any format.']",,"['att.global','att.calendarSystem','att.canonical','att.cmc','att.datable','att.dimensions','att.duration','att.editLike','att.typed','model.dateLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:141","elementSpec","['statement of responsibility']","respStmt","respStmt","['supplies a statement of responsibility for the intellectual content of a text','edition','recording','or series','where the specialized elements for authors','editors','etc. do not suffice or do not apply. May also be used to encode information about individuals or organizations which have played a role in the production or distribution of a bibliographic work.']",,"['att.global','att.canonical','model.recordingPart','model.respLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:142","elementSpec","['responsibility']","resp","resp","['contains a phrase describing the nature of a person's intellectual responsibility','or an organization's role in the production or distribution of a work.']",,"['att.global','att.canonical','att.datable']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:143","elementSpec","['title']","title","title","['contains a title for any kind of work.']",,"['att.global','att.canonical','att.cmc','att.datable','att.typed','model.emphLike','model.msQuoteLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:144","elementSpec","[]","meeting","meeting","['contains the formalized descriptive title for a meeting or conference','for use in a bibliographic description for an item derived from such a meeting','or as a heading or preamble to publications emanating from it.']",,"['att.global','att.canonical','att.cmc','att.datable','model.divWrapper','model.respLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:146","elementSpec","['publisher']","publisher","publisher","['provides the name of the organization responsible for the publication or distribution of a bibliographic item.']",,"['att.global','att.canonical','model.imprintPart','model.publicationStmtPart.agency']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:150","elementSpec","['bibliographic citation']","bibl","bibl","['contains a loosely-structured bibliographic citation of which the sub-components may or may not be explicitly tagged.']",,"['att.global','att.canonical','att.cmc','att.declarable','att.docStatus','att.sortable','att.typed','model.biblLike','model.biblPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:151","elementSpec","['structured bibliographic citation']","biblStruct","biblStruct","['contains a structured bibliographic citation','in which only bibliographic sub-elements appear and in a specified order.']",,"['att.global','att.canonical','att.cmc','att.declarable','att.docStatus','att.sortable','att.typed','model.biblLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:185","elementSpec","['document title']","docTitle","docTitle","['contains the title of a document','including all its constituents','as given on a title page.']",,"['att.global','att.canonical','model.pLike.front','model.titlepagePart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:187","elementSpec","['document author']","docAuthor","docAuthor","['contains the name of the author of the document','as given on the title page (often but not always contained in a byline).']",,"['att.global','att.canonical','att.cmc','model.divWrapper','model.pLike.front','model.titlepagePart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:215","elementSpec","[]","actor","actor","['contains the name of an actor appearing within a cast list.']",,"['att.global','att.canonical','model.castItemPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:288","elementSpec","['material']","material","material","['contains a word or phrase describing the material of which the object being described is composed.']",,"['att.global','att.canonical','att.typed','model.pPart.msdesc']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:422","elementSpec","['faith']","faith","faith","['specifies the faith','religion','or belief set of a person.']",,"['att.global','att.canonical','att.datable','att.editLike','att.typed','model.persStateLike']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:443","elementSpec","['relationship']","relation","relation","['describes any kind of relationship or linkage amongst a specified group of places','events','persons','objects or other items.']",,"['att.global','att.canonical','att.datable','att.editLike','att.sortable','att.typed']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:147","elementSpec","['scope of bibliographic reference']","biblScope","biblScope","['defines the scope of a bibliographic reference','for example as a list of page numbers','or a named subdivision of a larger work.']",,"['att.global','att.citing','model.imprintPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:148","elementSpec","['cited range']","citedRange","citedRange","['defines the range of cited content','often represented by pages or other units.']",,"['att.global','att.citing','att.pointing','model.biblPart']",
