"~id","~labels","name","chapterName","type","id","kind","gloss"
"4:13c24cab-0708-4375-8014-8513a8fd1335:182433","elementSpec","language",,,"language",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182434","elementSpec","textClass",,,"textClass",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182435","elementSpec","keywords",,,"keywords",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182436","elementSpec","classCode",,,"classCode",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182437","elementSpec","catRef",,,"catRef",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182438","elementSpec","calendarDesc",,,"calendarDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182439","elementSpec","calendar",,,"calendar",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182440","elementSpec","correspDesc",,,"correspDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182441","elementSpec","correspAction",,,"correspAction",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182442","elementSpec","correspContext",,,"correspContext",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182443","elementSpec","xenoData",,,"xenoData",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182444","elementSpec","revisionDesc",,,"revisionDesc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182445","elementSpec","change",,,"change",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182446","elementSpec","p",,,"p",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182447","elementSpec","foreign",,,"foreign",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182448","elementSpec","emph",,,"emph",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182449","elementSpec","hi",,,"hi",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182450","elementSpec","distinct",,,"distinct",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182451","elementSpec","said",,,"said",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182452","elementSpec","quote",,,"quote",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182453","elementSpec","q",,,"q",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182454","elementSpec","cit",,,"cit",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182455","elementSpec","mentioned",,,"mentioned",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182456","elementSpec","soCalled",,,"soCalled",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182457","elementSpec","desc",,,"desc",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182458","elementSpec","gloss",,,"gloss",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182459","elementSpec","term",,,"term",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182460","elementSpec","ruby",,,"ruby",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182461","elementSpec","rb",,,"rb",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182462","elementSpec","rt",,,"rt",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182463","elementSpec","sic",,,"sic",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182464","elementSpec","corr",,,"corr",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182465","elementSpec","choice",,,"choice",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182466","elementSpec","reg",,,"reg",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182467","elementSpec","orig",,,"orig",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182468","elementSpec","gap",,,"gap",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182469","elementSpec","ellipsis",,,"ellipsis",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182470","elementSpec","add",,,"add",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182471","elementSpec","del",,,"del",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182472","elementSpec","unclear",,,"unclear",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182473","elementSpec","name",,,"name",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182474","elementSpec","rs",,,"rs",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182475","elementSpec","email",,,"email",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182476","elementSpec","address",,,"address",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182477","elementSpec","addrLine",,,"addrLine",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182478","elementSpec","street",,,"street",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182479","elementSpec","postCode",,,"postCode",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182480","elementSpec","postBox",,,"postBox",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182481","elementSpec","num",,,"num",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182482","elementSpec","measure",,,"measure",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182483","elementSpec","measureGrp",,,"measureGrp",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182484","elementSpec","unit",,,"unit",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182485","elementSpec","date",,,"date",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182486","elementSpec","time",,,"time",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182487","elementSpec","abbr",,,"abbr",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182488","elementSpec","expan",,,"expan",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182489","elementSpec","ptr",,,"ptr",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182490","elementSpec","ref",,,"ref",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182491","elementSpec","list",,,"list",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182492","elementSpec","item",,,"item",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182493","elementSpec","label",,,"label",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182494","elementSpec","head",,,"head",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182495","elementSpec","headLabel",,,"headLabel",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182496","elementSpec","headItem",,,"headItem",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182497","elementSpec","note",,,"note",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182498","elementSpec","noteGrp",,,"noteGrp",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182499","elementSpec","index",,,"index",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182500","elementSpec","media",,,"media",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182501","elementSpec","graphic",,,"graphic",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182502","elementSpec","binaryObject",,,"binaryObject",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182503","elementSpec","milestone",,,"milestone",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182504","elementSpec","gb",,,"gb",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182505","elementSpec","pb",,,"pb",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182506","elementSpec","lb",,,"lb",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182507","elementSpec","cb",,,"cb",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182508","elementSpec","analytic",,,"analytic",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182509","elementSpec","monogr",,,"monogr",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182510","elementSpec","series",,,"series",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182511","elementSpec","author",,,"author",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182512","elementSpec","editor",,,"editor",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182513","elementSpec","respStmt",,,"respStmt",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182514","elementSpec","resp",,,"resp",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182515","elementSpec","title",,,"title",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182516","elementSpec","meeting",,,"meeting",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182517","elementSpec","imprint",,,"imprint",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182518","elementSpec","publisher",,,"publisher",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182519","elementSpec","biblScope",,,"biblScope",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182520","elementSpec","citedRange",,,"citedRange",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182521","elementSpec","pubPlace",,,"pubPlace",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182522","elementSpec","bibl",,,"bibl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182523","elementSpec","biblStruct",,,"biblStruct",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182524","elementSpec","listBibl",,,"listBibl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182525","elementSpec","relatedItem",,,"relatedItem",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182526","elementSpec","l",,,"l",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182527","elementSpec","lg",,,"lg",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182528","elementSpec","sp",,,"sp",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182529","elementSpec","speaker",,,"speaker",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182530","elementSpec","stage",,,"stage",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182531","elementSpec","TEI",,,"TEI",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182532","elementSpec","teiCorpus",,,"teiCorpus",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182533","elementSpec","text",,,"text",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182534","elementSpec","body",,,"body",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182535","elementSpec","group",,,"group",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182536","elementSpec","floatingText",,,"floatingText",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182537","elementSpec","div",,,"div",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182538","elementSpec","div1",,,"div1",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182539","elementSpec","div2",,,"div2",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182540","elementSpec","div3",,,"div3",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182541","elementSpec","div4",,,"div4",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182542","elementSpec","div5",,,"div5",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182543","elementSpec","div6",,,"div6",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182544","elementSpec","div7",,,"div7",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182545","elementSpec","divGen",,,"divGen",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182546","elementSpec","trailer",,,"trailer",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182547","elementSpec","byline",,,"byline",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182548","elementSpec","dateline",,,"dateline",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182549","elementSpec","argument",,,"argument",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182550","elementSpec","epigraph",,,"epigraph",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182551","elementSpec","opener",,,"opener",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182552","elementSpec","closer",,,"closer",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182553","elementSpec","salute",,,"salute",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182554","elementSpec","signed",,,"signed",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182555","elementSpec","postscript",,,"postscript",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182556","elementSpec","titlePage",,,"titlePage",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182557","elementSpec","docTitle",,,"docTitle",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182558","elementSpec","titlePart",,,"titlePart",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182559","elementSpec","docAuthor",,,"docAuthor",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182560","elementSpec","imprimatur",,,"imprimatur",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182561","elementSpec","docEdition",,,"docEdition",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182562","elementSpec","docImprint",,,"docImprint",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182563","elementSpec","docDate",,,"docDate",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182564","elementSpec","front",,,"front",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182565","elementSpec","back",,,"back",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182566","elementSpec","g",,,"g",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182567","elementSpec","charDecl",,,"charDecl",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182568","elementSpec","char",,,"char",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182569","elementSpec","glyph",,,"glyph",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182570","elementSpec","localProp",,,"localProp",,
"4:13c24cab-0708-4375-8014-8513a8fd1335:182571","elementSpec","mapping",,,"mapping",,
