"~id","~start_node_id","~end_node_id","~relationship_type"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847222","4:7856e765-51e7-420d-bd24-570ba6669a83:246","4:7856e765-51e7-420d-bd24-570ba6669a83:553","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847223","4:7856e765-51e7-420d-bd24-570ba6669a83:247","4:7856e765-51e7-420d-bd24-570ba6669a83:555","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847224","4:7856e765-51e7-420d-bd24-570ba6669a83:248","4:7856e765-51e7-420d-bd24-570ba6669a83:556","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847427","4:7856e765-51e7-420d-bd24-570ba6669a83:451","4:7856e765-51e7-420d-bd24-570ba6669a83:249","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847429","4:7856e765-51e7-420d-bd24-570ba6669a83:453","4:7856e765-51e7-420d-bd24-570ba6669a83:252","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847430","4:7856e765-51e7-420d-bd24-570ba6669a83:454","4:7856e765-51e7-420d-bd24-570ba6669a83:254","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847431","4:7856e765-51e7-420d-bd24-570ba6669a83:455","4:7856e765-51e7-420d-bd24-570ba6669a83:32","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847432","4:7856e765-51e7-420d-bd24-570ba6669a83:456","4:7856e765-51e7-420d-bd24-570ba6669a83:43","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847433","4:7856e765-51e7-420d-bd24-570ba6669a83:457","4:7856e765-51e7-420d-bd24-570ba6669a83:48","HAS_SECTION"
"5:7856e765-51e7-420d-bd24-570ba6669a83:1152921504606847434","4:7856e765-51e7-420d-bd24-570ba6669a83:458","4:7856e765-51e7-420d-bd24-570ba6669a83:49","HAS_SECTION"
